"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Long To\Documents\react-proj\score\README.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 17, 85
"c:\Users\Long To\Documents\react-proj\score\client\.eslintrc.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 1, 0, 27
"c:\Users\Long To\Documents\react-proj\score\client\.prettierrc", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Long To\Documents\react-proj\score\client\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 32, 70
"c:\Users\Long To\Documents\react-proj\score\client\build\asset-manifest.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 0, 45
"c:\Users\Long To\Documents\react-proj\score\client\build\index.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Long To\Documents\react-proj\score\client\build\manifest.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Long To\Documents\react-proj\score\client\build\sitemap.xml", "XML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 38
"c:\Users\Long To\Documents\react-proj\score\client\build\static\css\main.1d8434e3.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 2, 0, 4
"c:\Users\Long To\Documents\react-proj\score\client\build\static\js\main.3aa2dec1.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Long To\Documents\react-proj\score\client\build\vercel.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Long To\Documents\react-proj\score\client\package.json", "JSON", 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Long To\Documents\react-proj\score\client\postcss.config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Long To\Documents\react-proj\score\client\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 7, 1, 28
"c:\Users\Long To\Documents\react-proj\score\client\public\manifest.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Long To\Documents\react-proj\score\client\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 38
"c:\Users\Long To\Documents\react-proj\score\client\src\App.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Long To\Documents\react-proj\score\client\src\Routes.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Introduction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 336, 0, 3, 339
"c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Migration.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 2, 176
"c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Print.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Suggest.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
