Date : 2024-03-21 22:50:23
Directory : c:\Users\Long To\Documents\react-proj\score
Total : 130 files,  10595 codes, 106 comments, 1117 blanks, all 11818 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         60 |      7,939 |         84 |        709 |      8,732 |
| JavaScript     |         35 |      1,140 |          8 |        171 |      1,319 |
| CSS            |         18 |        906 |          6 |        172 |      1,084 |
| Markdown       |          4 |        296 |          0 |         60 |        356 |
| JSON           |          9 |        217 |          1 |          4 |        222 |
| XML            |          2 |         76 |          0 |          0 |         76 |
| HTML           |          2 |         21 |          7 |          1 |         29 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        130 |     10,595 |        106 |      1,117 |     11,818 |
| . (Files)                                                                                          |          3 |        258 |          0 |         28 |        286 |
| client                                                                                             |        105 |      9,930 |        104 |      1,001 |     11,035 |
| client (Files)                                                                                     |          6 |        169 |          2 |         37 |        208 |
| client\build                                                                                       |          7 |        107 |          3 |          1 |        111 |
| client\build (Files)                                                                               |          5 |        104 |          0 |          1 |        105 |
| client\build\static                                                                                |          2 |          3 |          3 |          0 |          6 |
| client\build\static\css                                                                            |          1 |          2 |          2 |          0 |          4 |
| client\build\static\js                                                                             |          1 |          1 |          1 |          0 |          2 |
| client\public                                                                                      |          3 |         73 |          7 |          2 |         82 |
| client\src                                                                                         |         89 |      9,581 |         92 |        961 |     10,634 |
| client\src (Files)                                                                                 |          6 |        170 |          4 |         32 |        206 |
| client\src\components                                                                              |         59 |      7,135 |         63 |        610 |      7,808 |
| client\src\components\docs                                                                         |          6 |        526 |          0 |         13 |        539 |
| client\src\components\home                                                                         |          6 |        691 |          0 |         47 |        738 |
| client\src\components\loader                                                                       |          2 |        101 |          0 |          8 |        109 |
| client\src\components\navBar                                                                       |          5 |        440 |         28 |         49 |        517 |
| client\src\components\print                                                                        |         17 |      2,702 |         15 |        244 |      2,961 |
| client\src\components\print (Files)                                                                |          7 |        631 |          0 |         32 |        663 |
| client\src\components\print\functions                                                              |          7 |      1,732 |         14 |        177 |      1,923 |
| client\src\components\print\menu                                                                   |          3 |        339 |          1 |         35 |        375 |
| client\src\components\search                                                                       |          3 |        273 |          0 |         24 |        297 |
| client\src\components\suggest                                                                      |          7 |        704 |          0 |         55 |        759 |
| client\src\components\visual                                                                       |         13 |      1,698 |         20 |        170 |      1,888 |
| client\src\components\visual (Files)                                                               |          6 |      1,295 |         20 |        108 |      1,423 |
| client\src\components\visual\inputs                                                                |          7 |        403 |          0 |         62 |        465 |
| client\src\pages                                                                                   |         20 |      2,111 |         25 |        300 |      2,436 |
| client\src\pages\docs                                                                              |          2 |        154 |          1 |         12 |        167 |
| client\src\pages\error                                                                             |          2 |         72 |          0 |          6 |         78 |
| client\src\pages\home                                                                              |          3 |        365 |          5 |         71 |        441 |
| client\src\pages\print                                                                             |          3 |        408 |          2 |         56 |        466 |
| client\src\pages\search                                                                            |          2 |        207 |          1 |         37 |        245 |
| client\src\pages\suggest                                                                           |          4 |        517 |          7 |         64 |        588 |
| client\src\pages\visual                                                                            |          4 |        388 |          9 |         54 |        451 |
| client\src\utils                                                                                   |          4 |        165 |          0 |         19 |        184 |
| server                                                                                             |         22 |        407 |          2 |         88 |        497 |
| server (Files)                                                                                     |          2 |         35 |          0 |          1 |         36 |
| server\src                                                                                         |         20 |        372 |          2 |         87 |        461 |
| server\src (Files)                                                                                 |          2 |         46 |          0 |         10 |         56 |
| server\src\controllers                                                                             |         12 |        255 |          1 |         57 |        313 |
| server\src\routes                                                                                  |          5 |         39 |          0 |         16 |         55 |
| server\src\utils                                                                                   |          1 |         32 |          1 |          4 |         37 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                           | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\Long To\Documents\react-proj\score\README.md                                              | Markdown       |         68 |          0 |         17 |         85 |
| c:\Users\Long To\Documents\react-proj\score\client\.eslintrc.json                                  | JSON           |         26 |          1 |          0 |         27 |
| c:\Users\Long To\Documents\react-proj\score\client\.prettierrc                                     | JSON           |         17 |          0 |          0 |         17 |
| c:\Users\Long To\Documents\react-proj\score\client\README.md                                       | Markdown       |         38 |          0 |         32 |         70 |
| c:\Users\Long To\Documents\react-proj\score\client\build\asset-manifest.json                       | JSON           |         45 |          0 |          0 |         45 |
| c:\Users\Long To\Documents\react-proj\score\client\build\index.html                                | HTML           |          1 |          0 |          0 |          1 |
| c:\Users\Long To\Documents\react-proj\score\client\build\manifest.json                             | JSON           |         15 |          0 |          1 |         16 |
| c:\Users\Long To\Documents\react-proj\score\client\build\sitemap.xml                               | XML            |         38 |          0 |          0 |         38 |
| c:\Users\Long To\Documents\react-proj\score\client\build\static\css\main.1d8434e3.css              | CSS            |          2 |          2 |          0 |          4 |
| c:\Users\Long To\Documents\react-proj\score\client\build\static\js\main.3aa2dec1.js                | JavaScript     |          1 |          1 |          0 |          2 |
| c:\Users\Long To\Documents\react-proj\score\client\build\vercel.json                               | JSON           |          5 |          0 |          0 |          5 |
| c:\Users\Long To\Documents\react-proj\score\client\package.json                                    | JSON           |         59 |          0 |          1 |         60 |
| c:\Users\Long To\Documents\react-proj\score\client\postcss.config.js                               | JavaScript     |          4 |          0 |          1 |          5 |
| c:\Users\Long To\Documents\react-proj\score\client\public\index.html                               | HTML           |         20 |          7 |          1 |         28 |
| c:\Users\Long To\Documents\react-proj\score\client\public\manifest.json                            | JSON           |         15 |          0 |          1 |         16 |
| c:\Users\Long To\Documents\react-proj\score\client\public\sitemap.xml                              | XML            |         38 |          0 |          0 |         38 |
| c:\Users\Long To\Documents\react-proj\score\client\src\App.js                                      | JavaScript     |         16 |          0 |          6 |         22 |
| c:\Users\Long To\Documents\react-proj\score\client\src\Routes.js                                   | JavaScript     |         47 |          0 |          4 |         51 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Introduction.jsx            | JavaScript JSX |        336 |          0 |          3 |        339 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Migration.jsx               | JavaScript JSX |        174 |          0 |          2 |        176 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Print.jsx                   | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Search.jsx                  | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Suggest.jsx                 | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\docs\Visual.jsx                  | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\home\Benefits.jsx                | JavaScript JSX |         70 |          0 |          7 |         77 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\home\Compare.jsx                 | JavaScript JSX |        165 |          0 |          7 |        172 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\home\Features.jsx                | JavaScript JSX |        188 |          0 |         14 |        202 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\home\Hero.jsx                    | JavaScript JSX |         96 |          0 |          6 |        102 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\home\Questions.jsx               | JavaScript JSX |        100 |          0 |          9 |        109 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\home\Tech.jsx                    | JavaScript JSX |         72 |          0 |          4 |         76 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\loader\Loader.jsx                | JavaScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\loader\loader.css                | CSS            |         92 |          0 |          5 |         97 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\navBar\Footer.jsx                | JavaScript JSX |         96 |          0 |          5 |        101 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\navBar\NavBar.jsx                | JavaScript JSX |         74 |          1 |         17 |         92 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\navBar\SideBar.jsx               | JavaScript JSX |        158 |          0 |         12 |        170 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\navBar\TopBar.jsx                | JavaScript JSX |         71 |         24 |          5 |        100 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\navBar\navbar.css                | CSS            |         41 |          3 |         10 |         54 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\AreaTable.jsx              | JavaScript JSX |         72 |          0 |          6 |         78 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\CompeteTable.jsx           | JavaScript JSX |        124 |          0 |          3 |        127 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\GroupTable.jsx             | JavaScript JSX |         74 |          0 |          5 |         79 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\ScoreRangeTable.jsx        | JavaScript JSX |        141 |          0 |          6 |        147 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\SpecialTable.jsx           | JavaScript JSX |         61 |          0 |          4 |         65 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\TopTable.jsx               | JavaScript JSX |         90 |          0 |          5 |         95 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\YearRangeTable.jsx         | JavaScript JSX |         69 |          0 |          3 |         72 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Area.jsx         | JavaScript JSX |        175 |          2 |         20 |        197 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Compete.jsx      | JavaScript JSX |        190 |          1 |         19 |        210 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Group.jsx        | JavaScript JSX |        274 |          2 |         26 |        302 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\ScoreRange.jsx   | JavaScript JSX |        403 |          3 |         38 |        444 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Special.jsx      | JavaScript JSX |        191 |          1 |         22 |        214 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Top.jsx          | JavaScript JSX |        309 |          3 |         32 |        344 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\YearRange.jsx    | JavaScript JSX |        190 |          2 |         20 |        212 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\menu\AddMenu.jsx           | JavaScript JSX |        183 |          0 |         17 |        200 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\menu\DeleteMenu.jsx        | JavaScript JSX |         67 |          0 |          8 |         75 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\print\menu\OrderMenu.jsx         | JavaScript JSX |         89 |          1 |         10 |        100 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\search\Detail.jsx                | JavaScript JSX |         38 |          0 |          3 |         41 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\search\Table.jsx                 | JavaScript JSX |        173 |          0 |         15 |        188 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\search\utils.js                  | JavaScript     |         62 |          0 |          6 |         68 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\Average.jsx              | JavaScript JSX |         41 |          0 |          8 |         49 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\AverageTable.jsx         | JavaScript JSX |        184 |          0 |          7 |        191 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\Range.jsx                | JavaScript JSX |         75 |          0 |         11 |         86 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\RangeTable.jsx           | JavaScript JSX |        147 |          0 |          4 |        151 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\Top.jsx                  | JavaScript JSX |         62 |          0 |         10 |         72 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\TopTable.jsx             | JavaScript JSX |         89 |          0 |          4 |         93 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\utils.js                 | JavaScript     |        106 |          0 |         11 |        117 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\AreaChart.jsx             | JavaScript JSX |        162 |          1 |         16 |        179 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\CompeteChart.jsx          | JavaScript JSX |        272 |         17 |         17 |        306 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\GroupChart.jsx            | JavaScript JSX |        171 |          0 |         13 |        184 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\SchoolSearch.jsx          | JavaScript JSX |         74 |          0 |          7 |         81 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\YearChart.jsx             | JavaScript JSX |        302 |          2 |         28 |        332 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\DiffInput.jsx      | JavaScript JSX |         51 |          0 |          8 |         59 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\SingleDistrict.jsx | JavaScript JSX |         55 |          0 |          9 |         64 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\SingleSchool.jsx   | JavaScript JSX |         71 |          0 |         12 |         83 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\SingleWish.jsx     | JavaScript JSX |         58 |          0 |         11 |         69 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\SingleYear.jsx     | JavaScript JSX |         53 |          0 |          9 |         62 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\YearRange.jsx      | JavaScript JSX |        110 |          0 |         12 |        122 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\yearRange.css      | CSS            |          5 |          0 |          1 |          6 |
| c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\utils.js                  | JavaScript     |        314 |          0 |         27 |        341 |
| c:\Users\Long To\Documents\react-proj\score\client\src\index.css                                   | CSS            |         79 |          0 |         15 |         94 |
| c:\Users\Long To\Documents\react-proj\score\client\src\index.js                                    | JavaScript     |         13 |          0 |          4 |         17 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\docs\Docs.jsx                         | JavaScript JSX |        137 |          1 |          8 |        146 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\docs\docs.css                         | CSS            |         17 |          0 |          4 |         21 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\error\NotFound.jsx                    | JavaScript JSX |         27 |          0 |          4 |         31 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\error\error.css                       | CSS            |         45 |          0 |          2 |         47 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\home\Home.jsx                         | JavaScript JSX |         24 |          4 |          4 |         32 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\home\home.css                         | CSS            |        189 |          1 |         30 |        220 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\home\responsive.css                   | CSS            |        152 |          0 |         37 |        189 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\print\Print.jsx                       | JavaScript JSX |        296 |          2 |         30 |        328 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\print\print.css                       | CSS            |         65 |          0 |         15 |         80 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\print\responsive.css                  | CSS            |         47 |          0 |         11 |         58 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\search\Search.jsx                     | JavaScript JSX |        144 |          1 |         23 |        168 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\search\table.css                      | CSS            |         63 |          0 |         14 |         77 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\suggest\Suggest.jsx                   | JavaScript JSX |        465 |          7 |         52 |        524 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\suggest\responsive.css                | CSS            |         25 |          0 |          7 |         32 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\suggest\suggest.css                   | CSS            |         21 |          0 |          4 |         25 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\suggest\top.css                       | CSS            |          6 |          0 |          1 |          7 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\visual\Visual.jsx                     | JavaScript JSX |        331 |          9 |         38 |        378 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\visual\add.css                        | CSS            |         14 |          0 |          4 |         18 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\visual\responsive.css                 | CSS            |         29 |          0 |          8 |         37 |
| c:\Users\Long To\Documents\react-proj\score\client\src\pages\visual\schoolSearch.css               | CSS            |         14 |          0 |          4 |         18 |
| c:\Users\Long To\Documents\react-proj\score\client\src\reportWebVitals.js                          | JavaScript     |         14 |          0 |          2 |         16 |
| c:\Users\Long To\Documents\react-proj\score\client\src\setupTests.js                               | JavaScript     |          1 |          4 |          1 |          6 |
| c:\Users\Long To\Documents\react-proj\score\client\src\utils\activity.js                           | JavaScript     |         61 |          0 |          5 |         66 |
| c:\Users\Long To\Documents\react-proj\score\client\src\utils\breakpoints.js                        | JavaScript     |          8 |          0 |          1 |          9 |
| c:\Users\Long To\Documents\react-proj\score\client\src\utils\lists.js                              | JavaScript     |         78 |          0 |          8 |         86 |
| c:\Users\Long To\Documents\react-proj\score\client\src\utils\setModeContext.js                     | JavaScript     |         18 |          0 |          5 |         23 |
